1|2|771.64
1|27|993.49
1|52|337.09
1|77|357.84
2|3|378.49
2|28|915.27
2|53|438.37
2|78|306.39
3|4|920.92
3|29|498.13
3|54|645.40
3|79|191.92
4|5|113.97
4|30|591.18
4|55|51.37
4|80|444.37
5|6|255.88
5|31|50.52
5|56|219.83
5|81|537.98
6|7|130.72
6|32|424.25
6|57|642.13
6|82|175.32
7|8|763.98
7|33|149.66
7|58|68.77
7|83|299.58
8|9|249.63
8|34|957.34
8|59|220.62
8|84|916.91
9|10|84.20
9|35|811.84
9|60|381.31
9|85|291.84
10|11|996.12
10|36|673.27
10|61|164.00
10|86|374.02
11|12|709.87
11|37|894.90
11|62|818.74
11|87|471.98
12|13|659.73
12|38|332.81
12|63|337.06
12|88|901.70
13|14|169.44
13|39|862.70
13|64|38.64
13|89|327.18
14|15|650.07
14|40|889.50
14|65|893.39
14|90|310.13
15|16|835.70
15|41|784.55
15|66|265.89
15|91|458.67
16|17|709.16
16|42|887.53
16|67|781.91
16|92|918.51
17|18|995.35
17|43|648.75
17|68|555.04
17|93|64.40
18|19|664.17
18|44|52.44
18|69|568.61
18|94|386.29
19|20|144.80
19|45|405.70
19|70|635.66
19|95|346.92
20|21|675.54
20|46|305.84
20|71|546.66
20|96|115.89
21|22|944.44
21|47|139.05
21|72|664.50
21|97|584.86
22|23|786.18
22|48|635.84
22|73|359.16
22|98|597.21
23|24|460.12
23|49|103.13
23|74|233.94
23|99|51.75
24|25|905.41
24|50|511.20
24|75|582.03
24|100|62.15
25|26|832.74
25|51|928.96
25|76|694.35
25|1|746.59
26|27|683.96
26|52|892.20
26|77|382.11
26|2|821.89
27|28|444.01
27|53|157.03
27|78|151.34
27|3|348.61
28|29|204.86
28|54|744.57
28|79|690.30
28|4|666.53
29|30|799.27
29|55|981.33
29|80|734.44
29|5|186.21
30|31|989.05
30|56|743.26
30|81|568.86
30|6|583.84
31|32|620.84
31|57|120.99
31|82|761.64
31|7|849.11
32|33|406.03
32|58|109.34
32|83|747.14
32|8|856.09
33|34|891.46
33|59|929.05
33|84|310.76
33|9|327.19
34|35|848.75
34|60|265.31
34|85|824.69
34|10|609.69
35|36|451.58
35|61|537.72
35|86|669.19
35|11|411.17
36|37|630.91
36|62|434.47
36|87|569.91
36|12|289.15
37|38|824.96
37|63|126.59
37|88|15.72
37|13|745.64
38|39|570.11
38|64|662.75
38|89|160.70
38|14|847.09
39|40|463.10
39|65|300.43
39|90|532.26
39|15|737.86
40|41|776.13
40|66|565.82
40|91|374.71
40|16|196.64
41|42|488.55
41|67|391.81
41|92|916.55
41|17|37.59
42|43|716.81
42|68|709.06
42|93|200.00
42|18|29.46
43|44|805.78
43|69|493.19
43|94|493.65
43|19|307.12
44|45|164.22
44|70|114.37
44|95|383.01
44|20|833.15
45|46|919.63
45|71|877.29
45|96|532.70
45|21|155.32
46|47|244.65
46|72|106.80
46|97|14.78
46|22|985.88
47|48|292.52
47|73|539.47
47|98|74.54
47|23|296.63
48|49|611.16
48|74|191.36
48|99|668.19
48|24|606.16
49|50|35.11
49|75|908.15
49|100|713.25
49|25|812.62
50|51|565.54
50|76|690.87
50|1|301.06
50|26|107.17
51|52|310.74
51|77|85.03
51|2|728.95
51|27|901.04
52|53|54.92
52|78|210.44
52|3|628.53
52|28|424.93
53|54|192.78
53|79|563.44
53|4|388.08
53|29|224.83
54|55|686.51
54|80|798.98
54|5|23.78
54|30|259.24
55|56|611.04
55|81|236.27
55|6|134.62
55|31|130.33
56|57|855.39
56|82|54.79
56|7|52.29
56|32|926.25
57|58|123.11
57|83|411.08
57|8|211.66
57|33|137.68
58|59|542.52
58|84|448.31
58|9|512.24
58|34|25.09
59|60|357.22
59|85|80.98
59|10|598.55
59|35|45.50
60|61|800.72
60|86|314.81
60|11|504.10
60|36|92.64
61|62|858.64
61|87|771.26
61|12|633.74
61|37|153.74
62|63|692.42
62|88|348.82
62|13|620.08
62|38|255.78
63|64|498.84
63|89|509.16
63|14|274.15
63|39|463.69
64|65|228.61
64|90|398.92
64|15|602.65
64|40|25.77
65|66|846.26
65|91|393.63
65|16|503.10
65|41|288.73
66|67|809.13
66|92|785.75
66|17|447.08
66|42|797.27
67|68|306.37
67|93|546.75
67|18|625.62
67|43|397.34
68|69|31.37
68|94|5.16
68|19|80.86
68|44|683.59
69|70|694.24
69|95|846.49
69|20|386.96
69|45|344.28
70|71|348.27
70|96|452.80
70|21|940.81
70|46|182.58
71|72|842.21
71|97|239.57
71|22|744.67
71|47|329.13
72|73|497.26
72|98|41.04
72|23|762.61
72|48|154.47
73|74|947.99
73|99|920.66
73|24|108.96
73|49|309.57
74|75|345.92
74|100|930.97
74|25|496.36
74|50|849.66
75|76|624.39
75|1|759.36
75|26|433.59
75|51|884.01
76|77|494.83
76|2|108.97
76|27|552.38
76|52|252.03
77|78|254.92
77|3|875.83
77|28|936.13
77|53|402.14
78|79|729.94
78|4|577.23
78|29|434.34
78|54|382.82
79|80|765.34
79|5|28.33
79|30|880.23
79|55|891.18
80|81|127.65
80|6|775.79
80|31|945.72
80|56|797.05
81|82|550.29
81|7|220.23
81|32|409.73
81|57|492.19
82|83|697.31
82|8|585.86
82|33|604.25
82|58|900.07
83|84|745.51
83|9|399.64
83|34|657.22
83|59|24.73
84|85|233.61
84|10|469.80
84|35|969.44
84|60|707.77
85|86|608.77
85|11|917.83
85|36|491.20
85|61|73.81
86|87|65.98
86|12|250.04
86|37|816.53
86|62|332.65
87|88|688.33
87|13|435.42
87|38|617.20
87|63|868.60
88|89|334.58
88|14|71.50
88|39|81.82
88|64|821.43
89|90|744.87
89|15|776.53
89|40|417.61
89|65|920.02
90|91|409.38
90|16|498.43
90|41|666.13
90|66|50.84
91|92|528.64
91|17|906.20
91|42|823.21
91|67|703.41
92|93|224.01
92|18|985.03
92|43|91.63
92|68|854.89
93|94|615.98
93|19|376.47
93|44|868.81
93|69|805.90
94|95|365.56
94|20|358.08
94|45|478.94
94|70|824.08
95|96|291.03
95|21|456.36
95|46|987.22
95|71|973.74
96|97|202.06
96|22|571.30
96|47|672.29
96|72|587.08
97|98|129.77
97|23|458.34
97|48|239.34
97|73|761.41
98|99|908.21
98|24|657.16
98|49|139.00
98|74|811.55
99|100|438.38
99|25|496.93
99|50|365.83
99|75|843.88
100|1|490.61
100|26|196.73
100|51|929.57
100|76|22.00
101|2|305.40
101|28|218.71
101|54|786.53
101|80|612.09
102|3|876.75
102|29|332.71
102|55|618.00
102|81|231.02
103|4|905.88
103|30|414.42
103|56|361.48
103|82|605.20
104|5|946.39
104|31|15.57
104|57|213.89
104|83|729.38
105|6|27.75
105|32|158.62
105|58|810.86
105|84|904.17
106|7|732.15
106|33|779.68
106|59|310.40
106|85|281.98
107|8|168.03
107|34|91.31
107|60|372.94
107|86|474.77
108|9|558.85
108|35|241.47
108|61|626.89
108|87|922.27
109|10|275.19
109|36|992.21
109|62|936.60
109|88|374.49
110|11|566.46
110|37|183.47
110|63|932.08
110|89|196.63
111|12|321.97
111|38|978.65
111|64|745.33
111|90|496.08
112|13|111.42
112|39|783.52
112|65|913.75
112|91|815.88
113|14|396.26
113|40|860.68
113|66|981.41
113|92|141.48
114|15|447.24
114|41|555.12
114|67|382.87
114|93|570.79
115|16|82.84
115|42|867.45
115|68|861.93
115|94|81.52
116|17|705.50
116|43|413.86
116|69|866.56
116|95|37.30
117|18|706.51
117|44|322.08
117|70|761.86
117|96|552.88
118|19|744.73
118|45|325.61
118|71|283.27
118|97|976.55
119|20|473.64
119|46|676.92
119|72|488.93
119|98|782.47
120|21|201.21
120|47|365.79
120|73|249.61
120|99|566.34
121|22|147.45
121|48|850.42
121|74|449.39
121|100|655.22
122|23|451.29
122|49|637.28
122|75|650.84
122|1|739.25
123|24|107.03
123|50|818.19
123|76|217.01
123|2|149.65
124|25|901.98
124|51|908.64
124|77|882.54
